sample,total,trimmed-total,post-merging,post-chimera-filter,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
Bassenthwaite_01,43078,34773,18381,18350,1.0,1635,3,363,16864
Bassenthwaite_02,22844,19087,10083,10006,1.0,1090,3,256,9050
Bassenthwaite_03,37448,27790,15286,15154,1.0,1577,3,343,13737
Bassenthwaite_04,28584,21355,11493,11345,1.0,1312,3,282,10157
Bassenthwaite_05,57644,41804,22696,22424,1.0,2349,3,542,20335
Bassenthwaite_shore-01,49988,40594,21423,21105,1.0,1964,3,429,19364
Derwent_01,22728,17571,9441,9285,1.0,844,3,191,8539
Derwent_02,22682,14500,8358,8358,1.0,893,3,203,7570
Derwent_03,12018,7638,4242,4227,1.0,322,3,79,3955
Derwent_04,17462,13344,7235,7149,1.0,835,3,186,6417
Derwent_05,28356,19748,10595,10546,1.0,1074,3,245,9609
Derwent_shore-01,27886,24665,12813,12755,1.0,863,3,162,11951
Mock-community_01,147912,126511,69072,55397,1.0,2445,3,539,53136
Mock-community_02,146060,131623,68382,64076,1.0,2241,3,485,61983
Mock-community_03,138688,124525,64622,58376,1.0,2593,3,500,55906
Mock-community_04,137102,123444,64097,59470,1.0,2094,3,402,57468
Mock-community_05,133380,115638,62130,55229,1.0,1904,3,398,53439
Mock-community_06,143298,116450,66998,58335,1.0,1521,3,339,56883
Mock-community_07,117776,106573,55289,51232,1.0,1806,3,398,49535
Mock-community_08,155108,140554,72888,65176,1.0,1860,3,478,63517
Mock-community_09,117994,107083,55411,50871,1.0,1736,3,376,49267
Mock-community_10,90396,80262,42400,39522,1.0,1232,3,273,38367
Windermere_01,69070,50112,30239,29936,1.0,1838,3,406,28320
Windermere_02,67800,50065,28914,28697,1.0,2683,3,572,26306
Windermere_03,96786,69821,40153,39657,1.0,2432,3,539,37477
Windermere_04,67420,51391,29190,28898,1.0,1865,3,415,27228
Windermere_05,56014,38493,24562,24442,1.0,2835,3,518,21828
Windermere_06,95464,75713,43813,43540,1.0,2095,3,467,41703
Windermere_07,56904,38650,25570,25477,1.0,1753,3,351,23879
Windermere_08,51892,35125,22113,21994,1.0,1573,3,341,20599
Windermere_09,49898,39343,22927,22802,1.0,1557,3,320,21384
Windermere_10,130504,100914,53961,53926,1.0,2831,3,664,51432
Windermere_11-0m,90008,71927,39963,39912,1.0,2200,3,483,37935
Windermere_11-10m,52906,37265,23593,23544,1.0,1645,3,352,22086
Windermere_11-20m,89026,65612,38802,38712,1.0,2621,3,570,36343
Windermere_11-30m,97578,67128,41833,41748,1.0,2142,3,426,39784
Windermere_11-40m,66142,50388,29426,29393,1.0,1934,3,446,27704
Windermere_11-50m,70642,52884,30571,30494,1.0,2034,3,446,28705
Windermere_11-60m,65262,45510,29425,29321,1.0,1672,3,364,27822
Windermere_12,41332,28859,18236,18197,1.0,1549,3,315,16783
Windermere_13,60754,42807,26390,26342,1.0,1473,3,278,24970
Windermere_14,72010,48354,31186,31059,1.0,1708,3,352,29487
Windermere_15,59686,42314,27536,27336,1.0,1521,3,311,25932
Windermere_16,99902,71699,44016,43716,1.0,2449,3,557,41527
Windermere_17,85608,58987,37238,36749,1.0,1866,3,426,35058
Windermere_18,87870,56693,39391,39184,1.0,1619,3,363,37729
Windermere_19,42514,28843,19077,18938,1.0,1291,3,286,17785
Windermere_20,53126,35235,23288,22996,1.0,1800,3,362,21348
Windermere_21,63958,42661,28651,28596,1.0,1703,3,400,27095
Windermere_22,52028,32740,23536,23446,1.0,1589,3,363,22024
Windermere_23,72760,43477,31313,31200,1.0,1962,3,440,29455
Windermere_24,79590,51166,34859,34670,1.0,1905,3,400,32917
Windermere_25,71292,54981,32123,31633,1.0,1963,3,413,29858
Windermere_26,81664,54110,36049,35808,1.0,1352,3,305,34544
Windermere_27,68908,42974,30793,30758,1.0,1404,3,318,29477
Windermere_28-0m,98364,59910,43909,43829,1.0,1668,3,390,42329
Windermere_28-10m,96174,63331,44177,44112,1.0,1501,3,345,42742
Windermere_28-20m,91722,55191,41363,41283,1.0,1465,3,360,39980
Windermere_28-30m,92752,58488,42651,42527,1.0,1524,3,398,41201
Windermere_28-40m,88994,54667,40744,40669,1.0,1490,3,341,39336
Windermere_29,101974,57964,44265,44216,1.0,1529,3,417,42915
Windermere_30,62234,33215,23476,23385,1.0,1421,3,307,22094
Windermere_31,72822,39228,26772,26717,1.0,1612,3,349,25254
Windermere_32,93770,56898,35045,34911,1.0,1483,3,287,33538
Windermere_33,83472,52343,33166,33077,1.0,1759,3,358,31467
Windermere_34,91254,49859,33563,33511,1.0,1817,3,378,31850
Windermere_35,81000,48276,30787,30637,1.0,1834,3,374,28961
Windermere_36,60774,34893,22871,22770,1.0,1366,3,282,21529
Windermere_37,61136,44718,27736,27576,1.0,1411,3,294,26299
Windermere_38,49048,35220,22999,22904,1.0,1005,3,196,21964
Windermere_39,48802,36303,22173,21975,1.0,1251,3,260,20835
Windermere_40,54504,43905,25478,25199,1.0,1434,3,300,23896
Windermere_41,60314,45347,27019,26657,1.0,1305,3,260,25428
Windermere_42,58896,46505,26897,26687,1.0,1561,3,357,25309
Windermere_43,46228,31884,20125,20054,1.0,1122,3,242,19059
Windermere_44,71636,52149,29562,29559,1.0,2204,3,474,27579
Windermere_45,52808,36465,22766,22717,1.0,2013,3,404,20902
Windermere_46,44854,32860,19059,19047,1.0,1796,3,397,17447
Windermere_47,89084,68029,39071,38989,1.0,2070,3,434,37122
Windermere_48,50968,36514,21539,21497,1.0,1916,3,405,19769
Windermere_49,43892,27828,17968,17922,1.0,1812,3,371,16282
Windermere_50,49710,33870,21231,21113,1.0,2233,3,420,19073
Windermere_shore-01,45074,36544,20726,20463,1.0,1274,3,274,19315
Windermere_shore-02,50362,43282,23403,23027,1.0,1416,3,309,21762
Windermere_shore-03,33670,27148,15519,15265,1.0,1290,3,238,14064
Windermere_shore-04,64056,49513,28410,28025,1.0,1813,3,408,26435
Windermere_shore-05,71258,55060,31573,31050,1.0,1797,3,407,29464
Windermere_shore-06,79970,64089,35901,35265,1.0,2051,3,444,33410
